134,Yuhtunga Jungle
135,Kazham
171,Altepa Desert
181,Dash de Chocobo (old)
190,The Sanctuary of Zi'Tah
191,Battle Theme #3
192,Battle in the Dungeon #3
193,Tough Battle #2
194,Bloody Promises
195,Belief
196,Fighters of the Crystal
197,To the Heavens
198,Eald'narche - Final Battle
199,Grav'iton
200,Hidden Truths
201,Ending Theme
202,Moongate (Memoro de la S^tono)
203,Quest Theme #2
204,Quest Theme #3
205,Quest Completion
206,Revenant Maiden
207,Ve'Lugannon Palace
208,Rabao
209,Norg
210,Tu'Lia
211,Ro'Maeve
212,Dash de Chocobo
213,Hall of the Gods
